"Scientific_Name","Plot","Total_Weight","pXRF_measurement_ID","Cl_concentration","Ca_concentration","Ti_concentration","Cr_concentration","Mn_concentration","Fe_concentration","Ni_concentration","Cu_concentration","Zn_concentration","As_concentration","Se_concentration","Cd_concentration","Re_concentration","Substrate_RT"
"Eragrostis lehmanniana","P6",1.179,"2144",981,4428,23.8,2.7,0,23.6,0,3.8,2.4,1.3,0.9,0,0,0.091615446
"Eragrostis lehmanniana","P6",0.631,"2145",558,3331,33.3,11.3,0,106,0,53,0,4.6,0.5,0,0,0.071287595
"Eragrostis lehmanniana","P6",0.593,"2146",307,3855,46,10.8,0,81.6,0,57.8,0,4.1,0.6,0,0,0.062259205
"Eragrostis lehmanniana","P5",0.778,"2147",811,2525,0,2.3,8.3,52.5,0,9.5,2.7,1.3,0.7,0,0,0.071814202
"Eragrostis lehmanniana","P5",0.819,"2148",328,2370,22.1,6.2,0,35.8,0,0,0,2.7,0.6,0,0,0.075447135
"Eragrostis lehmanniana","P5",0.569,"2186",1078,2157,0,3,14.5,16.7,0,0,2.7,1.4,0.4,0,0,0.060786761
"Euphorbia melanadenia","P5",0.166,"2266",1178,23936,120,0,20.4,1034,0,36.2,0,2.5,2.3,0,0,0.031361323
"Euphorbia melanadenia","P5",0.701,"2267",1233,9957,55.9,2.8,28.3,392,0,46.9,22.2,1.1,0.3,0,0,0.077687174
"Euphorbia melanadenia","P1",0.605,"2268",772,11832,33.6,0,24.4,264,0,22.3,9.9,1.8,1,0,0,0.067732669
"Euphorbia melanadenia","P1",0.712,"2269",859,11716,49.3,3.8,29.7,226,0,12.6,24.8,2.1,0.6,0,0,0.075090699
"Euphorbia melanadenia","P1",0.73,"2270",405,11582,48.7,0,18.6,329,0,9.6,34.1,1.5,0,0,0,0.066802532
"Euphorbia melanadenia","P1",0.781,"2271",589,8481,20.2,0,0,96.6,0,8.6,32.7,1,0.8,0,0,0.088348217
"Euphorbia melanadenia","P1",0.717,"2272",485,9108,28.4,2.4,17.6,123,0,9.8,37.5,1,0,0,0,0.077542923
"Euphorbia melanadenia","P5",1.254,"2273",809,10649,63.1,3,47,423,0,57.7,11.1,1.5,0.6,0,0,0.092775688
"Fraxinus velutina","P2",0.674,"2248",386,18365,0,8.1,0,65.1,0,4.4,0,5,1.6,0,2.5,0.05237456
"Fraxinus velutina","P2",0.705,"2249",0,14867,18.2,3.7,0,85.7,0,0,0,2.4,3.6,0,13.9,0.062584341
"Fraxinus velutina","P2",0.656,"2294",0,6661,0,5,0,45.1,0,0,0,2.8,1,0,0,0.053270668
"Gutierrezia sarothrae ","P1",0.736,"2232",2249,10642,25.1,2.9,38,142,0,38.1,40.2,0.9,0.5,0,5.1,0.070584901
"Gutierrezia sarothrae ","P1",0.827,"2233",833,11861,0,0,16.8,67.2,0,27.2,30.4,0.3,1.6,0,3.6,0.081872746
"Gutierrezia sarothrae ","P1",0.692,"2234",1584,10261,0,0,0,86.9,0,13.6,62.2,1.7,1.2,0,0,0.069154941
"Gutierrezia sarothrae ","P5",0.422,"2235",2284,8552,0,0,20.2,73.5,0,23.2,20.6,0.5,1.6,0,0,0.052638043
"Gutierrezia sarothrae ","P5",0.809,"2236",1494,10317,0,0,27.2,115,0,18.4,27.2,0.9,0.9,0,0,0.078088716
"Gutierrezia sarothrae ","P5",0.66,"2237",1310,9201,0,0,32.2,45.5,0,18.7,35.2,0.9,0.6,0,0,0.068243265
"Gutierrezia sarothrae ","P5",0.885,"2238",2851,8551,0,0,27.3,71.5,0,20.3,11.8,0,1.6,0,0,0.081975758
"Gutierrezia sarothrae ","P5",0.884,"2239",1565,8642,0,4,24,47.6,0,14.3,28.7,2,0.5,0,1.4,0.083854675
"Gutierrezia sarothrae ","P5",1.281,"2240",2615,17854,25.4,0,80.3,208,0,29.1,10.3,2.6,1.2,0,0,0.085884363
"Isocoma cf. tenuisecta","P2",0.451,"2189",2258,9871,63.7,3.4,64,535,0,50.7,39.1,1.4,22.3,0,13.7,0.057557862
"Isocoma cf. tenuisecta","P2",1.034,"2190",1373,10613,25.2,0,135,278,0,44.1,16.8,0,55.2,0,29.5,0.079580434
"Isocoma cf. tenuisecta","P2",1.012,"2191",3581,9319,44,4.2,46,398,0,34.6,36,0.8,10.3,0,20.6,0.08174789
"Isocoma cf. tenuisecta","P2",0.936,"2192",2883,9724,41.6,5.7,80.7,494,0,51.3,20.8,2.5,15.2,0,20,0.077984385
"Juniperus arizonica","P1",0.805,"2333",1435,12495,0,4.1,0,28.4,0,0,6.1,1,0,0,0,0.064806536
"Juniperus arizonica","P2",1.29,"2334",790,16536,24.7,3.6,0,92.9,0,3.7,14.8,1,0.4,0,0,0.080019034
"Juniperus arizonica","P2",1.398,"2335",815,12425,17.9,2.8,9.4,47.8,0,5.8,15.6,0.9,0.4,0,0,0.08806479
"Juniperus arizonica","P5",1.488,"2336",1441,16434,18.6,2.5,54.2,89,3.1,11.5,16.3,0.9,0.8,0,0,0.092350572
"Juniperus arizonica","P5",1.639,"2337",644,11077,20.8,2.4,43.5,74.9,0,12.6,7.4,1,0.7,0,0,0.105011918
"Juniperus arizonica","P5",1.582,"2338",771,14923,0,3.5,72.6,47,0,8.2,11.3,0.6,0.6,0,0,0.113450587
"Mentzelia multiflora","P6",0.373,"2241",1050,33835,100,8.7,27.4,240,0,31.6,0,4.5,3.7,0,0,0.036137167
"Mentzelia multiflora","P6",0.971,"2242",891,36044,42.4,3.6,78.8,260,0,44.8,29.2,1.8,4.9,0,0,0.068312071
"Mentzelia multiflora","P1",0.526,"2243",1756,23307,0,4.7,68.7,94.8,0,0,4.1,3.5,3.7,0,2.6,0.044963252
"Mentzelia multiflora","P1",0.39,"2244",2202,20128,0,4.1,50.6,95.7,0,0,0,3.8,6.9,0,0,0.030565953
"Mentzelia multiflora","P1",0.656,"2245",1852,20874,0,0,208,95.2,0,0,21.8,2.2,4.6,0,3.5,0.051774509
"Mentzelia multiflora","P6",1.009,"2246",837,37615,122,4.6,88.3,153,0,42.6,4.8,3.9,3.6,0,0,0.062705256
"Mentzelia multiflora","P6",0.666,"2247",1934,23320,103,5.9,81.3,166,0,18.8,8.8,4.4,2.2,0,0,0.055853609
"Mimosa biuncifera (=aculeaticarpa)","P1",0.987,"2298",1220,14788,0,0,56.7,76.8,0,26.6,15.2,0.8,1.1,0,5.2,0.0763354
"Mimosa biuncifera (=aculeaticarpa)","P1",0.38,"2299",1064,15902,16.8,5.5,62.8,73.7,0,20.7,12.4,1,1,0,8.1,0.037584987
"Mimosa biuncifera (=aculeaticarpa)","P1",0.699,"2300",939,19757,21.6,0,26.3,129,0,29.6,17,0.9,1,0,1.6,0.060333308
"Mimosa biuncifera (=aculeaticarpa)","P1",1.143,"2301",1216,20701,34.9,3.8,51.5,225,0,57.8,10.7,1.5,3.1,0,6,0.076698072
"Mimosa biuncifera (=aculeaticarpa)","P2",0.349,"2302",948,14655,25.9,4.1,37,76.5,0,23.8,17.3,2.2,4.5,0,3.8,0.026882511
"Mimosa biuncifera (=aculeaticarpa)","P2",0.837,"2303",1276,15577,0,0,52.4,87.6,0,65.9,14.3,0.7,1.7,0,5.5,0.079033501
"Mimosa biuncifera (=aculeaticarpa)","P5",0.228,"2304",1008,14586,0,6.9,65,71.5,0,24.1,0,2.2,1.5,0,0,0.056133807
"Mimosa biuncifera (=aculeaticarpa)","P5",0.71,"2305",641,17182,18.7,4.6,34.8,66.3,0,31.6,11.3,1.3,2.9,0,0,0.055208948
"Mimosa biuncifera (=aculeaticarpa)","P5",1.068,"2306",0,16258,24.1,0,18.7,60.6,0,40,7.1,0.7,1.4,0,2,0.071113005
"Nultuma (Prosopis) velutina","P1",1.227,"2154",683,20776,20.2,6.6,57.8,45.1,0,82.1,8.1,2.2,4.9,0,11.7,0.078900702
"Nultuma (Prosopis) velutina","P1",1.046,"2155",1616,26240,27.7,3,62,93.8,0,77.3,32.3,1.1,3.6,0,17.1,0.085961305
"Nultuma (Prosopis) velutina","P1",0.969,"2156",891,21846,0,6.2,32.2,48,0,69.8,10,3,2.8,0,4,0.07443361
"Nultuma (Prosopis) velutina","P2",1.016,"2157",981,21231,26.1,6.2,82.6,89.2,0,128,42,2.3,1.8,0,3.8,0.081436031
"Nultuma (Prosopis) velutina","P5",0.659,"2158",1333,22543,19.8,7.9,29.7,67.6,0,103,0,2.7,4.6,0,6.8,0.054828383
"Nultuma (Prosopis) velutina","P5",0.909,"2159",1758,13333,26.6,5.7,32.8,54.8,0,48,9.7,2,5,0,0,0.079537496
"Nultuma (Prosopis) velutina","P5",0.975,"2160",576,16256,23.8,0,45.6,98.2,0,82.6,7.8,1.7,1.7,0,0,0.073813483
"Nultuma (Prosopis) velutina","P6",0.848,"2161",337,24382,48,6.8,51.6,82.7,0,147,7.7,3,2.8,0,3,0.075984977
"Pectis papposa","P1",0.197,"2262",4338,17656,44.6,5.6,0,269,0,15.2,30,3.8,0,0,0,0.026538404
"Pectis papposa","P1",0.168,"2263",6064,16083,26.5,8,0,138,0,0,18.7,4.1,0,0,0,0.021408165
"Pectis papposa","P1",0.062,"2264",1384,13594,77.8,14.5,0,713,0,0,0,9.1,0,0,0,0.013864357
"Pectis papposa","P5",0.614,"2265",419,22973,73,0,33.1,428,0,70.4,24.3,2.1,1.3,0,0,0.058957256
"Phyla nodiflora","P2",0.451,"2214",2620,52847,110,5.7,0,134,0,5.2,10.4,5,2.4,0,0,0.051916037
"Phyla nodiflora","P2",0.714,"2215",4943,52184,39.4,6.9,46.1,136,0,13,6.5,2.7,3.1,0,0,0.068114363
"Phyla nodiflora","P2",0.631,"2216",2889,49264,54.7,7.3,38.6,207,0,22.4,13,3.4,4.6,0,0,0.068944216
"Populus fremontii","P2",0.915,"2317",0,18683,0,8.3,0,32.7,0,5,17.7,3.2,6.8,0,0,0.058949273
"Populus fremontii","P2",0.646,"2318",0,14671,0,5.2,0,31.6,0,6.3,41.2,1.8,8.6,0,0,0.053572863
"Populus fremontii","P2",0.781,"2319",0,31067,0,4.1,12.7,43.8,0,4.4,49.9,2.6,8.2,0,0,0.053799179
"Portulaca oleracea","P5",0.093,"2342",929,17006,125,19.5,0,50.7,0,0,15.9,8.3,0,0,0,0.017748987
"Portulaca suffrutescens","P1",0.217,"2193",638,12694,88.7,11.1,0,297,0,24.9,17,5.8,0.6,0,0,0.057113819
"Portulaca suffrutescens","P1",0.046,"2194",418,5988,52.1,10.4,0,167,0,0,0,5.9,0,0,0,0.011740174
"Portulaca suffrutescens","P1",0.008,"2195",0,354,0,18.1,0,0,0,0,0,10.7,0,0,0,0.005705923
"Portulaca suffrutescens","P2",0.14,"2196",413,4852,56,11.8,0,145,0,10.4,9.7,6.4,0,0,0,0.030848213
